Season,Week,Date,Opponent,Completions,Attempts,Pass_Yds,Pass_TD,INT,Rush_Att,Rush_Yds,Rush_TD,Fantasy_Points,Def_Cmp_Allowed_pg,Def_Att_Allowed_pg,Def_PassYds_Allowed_pg,Def_PassTD_Allowed_pg,Def_INT_Forced_pg,Def_RushAtt_Allowed_pg,Def_RushYds_Allowed_pg,Def_RushTD_Allowed_pg,Def_Sacks_pg,Def_2PP_Allowed_pg,Def_FantasyPts_Allowed_pg
2024,13,11/29/2024,LV,26.0,46.0,306.0,1.0,0.0,2.0,4.0,0.0,14.64,22.05882353,33.05882353,228.7647059,1.235294118,0.764705882,4.117647059,16.64705882,0.117647059,2.647058824,,14.6
2024,14,12/8/2024,LAC,24.0,37.0,210.0,1.0,0.0,4.0,17.0,0.0,14.1,22.76470588,35.05882353,268.7058824,1.470588235,0.529411765,4.117647059,13.52941176,0.352941176,2.823529412,,18.5
2024,15,12/15/2024,CLE,19.0,38.0,159.0,2.0,0.0,2.0,14.0,0.0,15.76,18.05882353,31.47058824,185.2352941,1.352941176,1.058823529,4.235294118,14.76470588,0.294117647,2.882352941,0.058823529,13.4
2024,16,12/21/2024,HOU,28.0,41.0,260.0,1.0,0.0,5.0,33.0,1.0,23.7,22.41176471,33.17647059,253.6470588,1.0,0.823529412,3.823529412,16.64705882,0.411764706,2.705882353,0.235294118,17.2
2024,17,12/25/2024,PIT,29.0,38.0,320.0,3.0,0.0,1.0,12.0,0.0,26.0,20.41176471,33.64705882,244.5882353,1.294117647,0.941176471,3.529411765,16.11764706,0.0,2.764705882,0.176470588,14.6
2025,1,2025-09-05 00:00:00,LAC,,,,,,,,,,21.529411764705884,33.1764705882353,221.11764705882354,1.411764705882353,0.8823529411764706,4.235294117647059,23.058823529411764,0.17647058823529413,2.7058823529411766,,15.9
2025,2,2025-09-12 00:00:00,PHI,,,,,,,,,,19.823529411764707,31.88235294117647,192.11764705882354,1.2941176470588236,0.7647058823529411,4.352941176470588,20.764705882352942,0.17647058823529413,2.411764705882353,0.17647058823529413,14.5
2025,3,2025-09-19 00:00:00,NYG,,,,,,,,,,20.529411764705884,29.58823529411765,227.58823529411765,1.3529411764705883,0.29411764705882354,4.470588235294118,23.705882352941178,0.23529411764705882,2.6470588235294117,0.058823529411764705,17.1
2025,4,2025-09-26 00:00:00,BAL,,,,,,,,,,23.235294117647058,36.705882352941174,262.70588235294116,1.5294117647058822,0.7058823529411765,3.6470588235294117,13.705882352941176,0.17647058823529413,3.176470588235294,0.058823529411764705,17.8
2025,5,2025-10-01 00:00:00,JAX,,,,,,,,,,22.823529411764707,34.05882352941177,269.47058823529414,1.7058823529411764,0.35294117647058826,5.176470588235294,24.647058823529413,0.11764705882352941,2.0,0.058823529411764705,20.1
2025,6,2025-10-08 00:00:00,DET,,,,,,,,,,21.941176470588236,35.8235294117647,259.05882352941177,1.0588235294117647,0.9411764705882353,4.294117647058823,26.705882352941178,0.35294117647058826,2.176470588235294,0.058823529411764705,17.5
2025,7,2025-10-15 00:00:00,LV,,,,,,,,,,21.764705882352942,33.0,234.64705882352942,1.7058823529411764,0.5882352941176471,3.823529411764706,16.647058823529413,0.17647058823529413,2.176470588235294,0.058823529411764705,17.8
2025,8,2025-10-22 00:00:00,WAS,,,,,,,,,,18.0,29.058823529411764,204.1764705882353,1.411764705882353,0.4117647058823529,4.764705882352941,20.0,0.11764705882352941,2.4705882352941178,0.058823529411764705,15.5
2025,9,2025-11-01 00:00:00,BUF,,,,,,,,,,23.294117647058822,34.0,241.1764705882353,1.6470588235294117,0.9411764705882353,3.1176470588235294,15.470588235294118,0.11764705882352941,2.2941176470588234,0.058823529411764705,15.7
